index,sentiment,text
2078,positive,Acquisitions have been made and businesses have been well integrated .
3175,neutral,"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis ."
3741,neutral,"'s Outokumpu Technology business will begin trading on the Nordic Exchange in Helsinki starting Oct. 10 , becoming the sixth company to list on that exchange this year , the company said Friday ."
4255,neutral,"The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 ."
4468,positive,"The Dutch broker noted that Nokian Tyres reported a good first quarter in 2006 , above or in line with consensus ."
3254,neutral,"The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services ."
4206,negative,"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries ."
2290,positive,"Net sales will , however , increase from 2005 ."
2472,neutral,He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .
3270,neutral,The identity of the buyer is not yet known .
1793,positive,"Finland 's leading metals group Outokumpu said its fourth-quarter net profit more than tripled on the back of strong global demand for stainless steel , soaring base metal prices and proceeds from the sale of its technology unit ."
1261,positive,It is a solid credit that has been compared to a DZ Bank or a Rabobank .
4209,negative,"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another ."
3744,neutral,Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .
3707,neutral,"Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level ."
3901,neutral,"The second company acquired is Sweden 's Reftele Maskinservice AB , whose business is mainly field services and spare parts manufacturing , with 10 employees and 1.2 mln eur sales a year ."
4269,negative,The production is to be liquidated before June 2009 and 325 employees loose their jobs .
638,positive,"`` The number of collection errors fell considerably , and operations speeded up ."
185,positive,EBIT margin was up from 1.4 % to 5.1 % .
2470,neutral,GyPSii service supports ten different languages including Korean and Russian .
2701,neutral,W+Ærtsil+Æ 's aim is to serve the rapidly growing number of vessels and increasing marine activity in the Barents Sea region .
680,negative,"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago ."
2239,positive,"The recovery of demand that started toward the end of 2009 , continued in January-March 2010 ."
1202,neutral,Consumers are now increasingly interested in what they can do with heir phones .
485,positive,Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .
4477,neutral,"INTERNET BUSINESS NEWS - -_ 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers ."
1487,neutral,"3G data subscribers are also helping to maintain these growth levels , since data-only subscriptions push for more multiple SIM ownership ."
1977,negative,F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .
1303,neutral,"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries ."
4774,positive,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .
3124,neutral,Solidium now holds 5.0 per cent of the shares Solidium Oy has acquired 5.0 per cent of the shares in Tieto Corporation for approximately EUR 58 million .
3683,neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .
462,positive,"Vaisala Oyj Press Release September 30 , 2010 Vaisala has signed a contract to sell its oxygen measurement technology and business to SICK Maihak GmbH ."
4124,neutral,Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .
2539,neutral,"Particular attention is being paid to energy efficiency in the construction of the building , as it is designed to meet the requirements of energy class B , and LEED certification will be applied for ."
2626,neutral,"The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year ."
4699,negative,Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .
3636,neutral,In Sweden the agreement covers data communication services as well .
4120,neutral,"Mr Clausen , however , refused to comment the option that Nordea would consider buying into Citadele Bank ."
1540,positive,"In recent months , Capman has taken significant steps to simplify its operations , CEO Lennart Simonsen said ."
553,positive,Nokian Capacitors ' equipment will be used to raise the capacity and reliability of the Indian grid .
1934,neutral,"Weber convinced his friend Ray Ostrom , who owned a Lake Street sporting goods store , to sell the lures ."
2926,neutral,"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland ."
3263,neutral,"The Group 's business sectors are Building Construction , Infrastructure Construction , Technical Building Services , and Building Products ."
2329,neutral,Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .
1223,neutral,"Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to acquire local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) ."
286,positive,The aim is to increase sales by at least one fifth in 2006 .
465,neutral,"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar ."
2507,neutral,"Maximum amount of terminations in Finland is 40 employees , the company added ."
1931,neutral,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed ."
2137,positive,"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion ."
4639,negative,"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said ."
4671,negative,"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 ."
3586,neutral,Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .
622,neutral,"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies ."
2412,neutral,"At 10.58 am , Outokumpu declined 2.74 pct to 24.87 eur , while the OMX Helsinki 25 was 0.55 pct higher at 2,825.14 and the OMX Helsinki added 0.64 pct to 9,386.89 ."
1390,neutral,The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .
2882,neutral,Eriikka S+¦derstr+¦m has previously held several positions in finance and control at Nokia Networks including acting as the Business Group Controller and having the corporate controller position at Nokia Siemens Networks .
3332,neutral,The prices of stainless steel also rose in Europe .
1861,neutral,Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .
2071,positive,Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .
1877,neutral,We are also pleased to welcome the new employees to Tieto . '
2217,positive,The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .
3055,neutral,"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares ."
4542,neutral,Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .
3083,neutral,Pohjola and cooperative banks have continued to combine their branch office network .
1271,neutral,Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology .
408,positive,"Thereby , the company will expand its offering to North , Central and South America ."
4634,negative,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .
4194,neutral,GET MIDNIGHTTRADER IN REALTIME : This report is delayed .
1077,positive,"Tekla Structures BIM Building Information Modeling software is being developed according to a long-term plan of improved user experience , process , and functionality ."
1328,neutral,"RK Group , headquartered in Vantaa , Finland , is one of Europe 's leading machinery rental services ."
1700,positive,Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe .
1491,positive,A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .
4131,negative,The company initially estimated that it would cut up to 30 jobs .
1836,neutral,Basic banking activities continued as normal .
429,positive,"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands ."
4744,negative,"In the Baltic countries , sales fell by 42.6 % ."
1551,neutral,It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .
2157,positive,Net profit was 35.5 mln compared with 29.8 mln .
3338,neutral,The proposed consolidation activities will impact approximately 30 positions .
4726,negative,"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 ."
4696,negative,Net sales fell by 5 % from the previous accounting period .
1127,positive,"`` I 'm happy with the outcome , '' Sneed said after the hearing ."
1343,neutral,Strategic and operational business information is objectively reported .
1309,positive,"Overall , 50 percent of respondents were confident about their security when banking online ."
4141,neutral,"The third applicant , Fortum , was dropped ."
917,positive,"Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 ."
3045,neutral,New Novator products are supposed to be exported .
2824,neutral,Automation makes it possible to conduct several tests simultaneously .
1761,positive,"SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 ."
2374,negative,Finnish plumbing and heating systems supplier Uponor is temporarily laying off its whole workforce in Finland for two weeks as of mid-July 2009 .
1418,neutral,"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S."
2453,neutral,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions ."
85,neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .
1933,neutral,"We have sound experience of project deliveries for large multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction ."
248,positive,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .
2586,neutral,"The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier ."
2404,neutral,Also the development of online businesses will continue .
3805,neutral,The company said that it has agreed to a EUR160m unsecured credit line from lenders .
712,negative,Cash Flow from Operations for the most recent quarter also reached a eight year low .
3081,neutral,Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .
1464,neutral,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .
2876,neutral,"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region ."
809,positive,Finnish Outokumpu Technology has been awarded several new grinding technology contracts .
4095,positive,"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn ."
4780,positive,"The antibody , given at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients ."
501,neutral,Rental of building equipment accounted for 88 percent of the operating income .
3031,neutral,Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 .
227,positive,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 ."
4564,negative,Altogether Finnair has canceled over 500 flights because of the strike .
2984,neutral,It was decided that the auditors are reimbursed according to invoice .
1068,neutral,Other potential clients include public administration organizations investing in utility networks and services .
3475,neutral,The profit after taxes was EUR 57.7 11.1 million .
1450,neutral,Uponor maintains its full-year guidance for 2010 .
1596,neutral,"Seppala transferred the sale to a greater extent than last year to February , and this is reflected on the January sales figures ."
620,positive,"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues ."
621,neutral,Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit .
2125,neutral,"In January-September 2007 , operating profit totaled EUR 20.5 mn ."
1774,positive,15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .
1736,positive,"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term ."
748,positive,`` This is a win for all OEMs targeting to develop WiMAX products .
2148,neutral,"Metso will provide a recovery boiler with a capacity of 6,800 tonnes of dry solids per day and an evaporation plant with six thermal stages and a capacity of 1,600 tonnes per hour ."
3953,neutral,This wood lacquered clock comes with a stripy hand-crocheted cover .
3983,neutral,"With the government exempting certain stainless steel products from anti-dumping duties , Finland-based Outokumpu today said it will look to enter into supply pacts with the Indian Railways soon ."
685,neutral,"A state program has been worked out , legal provisions have been developed , and rules and normative documents have been specified for the functioning of a technological park ."
3249,neutral,The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .
3819,neutral,The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .
221,neutral,Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .
4457,positive,"According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself ."
203,positive,"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services ."
1009,neutral,"It 's `` finger-friendly '' , and to my opinion , really fast ."
36,positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 ."
1625,neutral,"The contracts awarded to date , in connection with the system , amount to a total EUR 36 million ."
3245,neutral,The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .
3346,neutral,The report will be emailed within 2 business days of an order .
2483,neutral,"In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+Ærvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy ."
1754,neutral,"Mr. Atul Chopra , Chief Operating Officer & President , Tecnotree elaborated '' I am eager to see the continued success of the former Tecnomen , bringing Lifetree product to MENA , under the Tecnotree umbrella ."
1021,neutral,"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement ."
3940,neutral,The value of the three-year contract is estimated at EUR40m .
1523,neutral,"Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab ."
4126,negative,Possible personnel reductions concern approximately 104 people .
4731,negative,Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .
576,neutral,"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said ."
836,positive,"Finnish financial solutions developer Basware Corporation ( OMX Helsinki BAS1V ) said on Tuesday ( 23 September ) that it will deliver a complete Invoice Automation solution to a large US engineering , construction and technical services organization ."
1519,neutral,"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina ."
3459,neutral,"Von Koskull will oversee a new unit of Nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions ."
3508,neutral,"After the acquisition , Basware 's preliminary pro forma net sales for 2005 amount to EUR 52.6 mn , and preliminary pro forma operating profit amounts to EUR 7.1 mn ."
569,neutral,"Cencorp , headquartered in Virkkala , Finland , develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity ."
1475,neutral,`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years .
4175,negative,ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .
1478,neutral,"`` The bond gathered subscriptions from some 400 investors and the issued amount can be considered substantial taking into account the main target group -- retail investors , '' Citycon CFO Eero Sihvonen said ."
182,positive,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .
382,positive,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .
1892,neutral,Being successful requires providing a level of quality that satisfies our customers and partners .
3374,neutral,"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks ."
3097,neutral,Protalix is developing genetically engineered proteins from plant cells .
1420,neutral,The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .
4074,negative,"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year ."
706,positive,"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts ."
2219,positive,The diesel margin has remained high .
2200,neutral,"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option ."
1533,neutral,"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company ."
206,positive,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 ."
384,positive,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .
1357,neutral,The business section also includes Ahlstrom 's sustainability report .
2913,neutral,"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced ."
3964,neutral,"Under the terms of the agreement , Bunge will acquire Raisio 's Keiju , Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland ."
2920,positive,"Furthermore , Novator Finland Oy has entered into a securities lending agreement , whereby Novator Finland Oy will hold directly the same amount of shares that are underlying of the OMX market forwards from May 23 through May 26 , 2008 ."
457,positive,"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday ."
3777,neutral,"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees ."
4149,neutral,"A total of 1,800,000 stock options were issued in the 2003 stock option scheme ."
2172,neutral,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .
3879,neutral,"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications ."
3658,neutral,"Kemira 's R&D organization comprises approximately 750 people , the company said ."
3620,neutral,"In 2010 , Sanoma Magazines expects net sales to be at the 2009 level ."
1778,positive,"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added ."
